id,期号,红球,蓝球
1,2024130,01__08__12__17__19__24,16 
2,2024131,04__05__11__15__20__32,13 
3,2024132,01__04__25__27__28__33,03 
4,2024133,01__11__15__27__30__33,01 
5,2024134,02__04__13__16__18__20,16 
6,2024135,05__11__17__18__30__31,13 
7,2024136,03__11__15__21__25__26,03 
8,2024137,04__09__10__19__26__27,12 
9,2024138,02__07__11__21__27__28,02 
10,2024139,15__16__20__22__23__29,14 
11,2024140,04__07__08__17__22__26,15 
12,2024141,01__02__07__15__24__29,12 
13,2024142,04__06__13__21__22__25,06 
14,2024143,02__05__11__22__30__33,10 
15,2024144,02__09__11__17__20__30,11 
16,2024145,01__03__16__22__23__30,03 
17,2024146,02__04__11__22__27__32,10 
18,2024147,05__11__13__16__21__30,10 
19,2024148,02__06__15__16__21__23,11 
20,2024149,03__09__16__17__18__22,16 
21,2024150,13__14__20__22__26__32,02 
22,2024151,05__10__16__19__29__32,04 
23,2025001,02__03__17__18__22__33,16 
24,2025002,09__12__13__15__22__26,11 
25,2025003,10__19__20__26__28__29,15 
26,2025004,03__07__17__27__29__32,04 
27,2025005,10__16__19__27__28__30,09 
28,2025006,01__07__08__17__20__22,06 
29,2025007,07__08__14__18__21__27,11 
30,2025008,09__14__16__17__25__33,11 
31,2025009,02__04__11__12__23__25,06 
32,2025010,04__06__07__16__17__21,08 
33,2025011,06__13__17__22__24__29,11 
34,2025012,07__11__13__18__27__31,11 
35,2025013,04__14__16__23__24__30,14 
36,2025014,06__07__09__13__21__27,05 
37,2025015,04__11__15__24__25__33,15 
38,2025016,02__03__12__16__20__29,14 
39,2025017,04__12__15__18__28__29,05 
40,2025018,03__09__18__21__28__29,11 
41,2025019,05__13__17__18__22__23,11 
42,2025020,04__11__13__16__26__30,15 
43,2025021,07__08__16__18__25__32,14 
44,2025022,11__17__18__20__28__30,10 
45,2025023,09__12__13__24__25__33,07 
46,2025024,10__11__22__27__30__32,15 
47,2025025,12__15__21__23__25__30,02 
48,2025026,09__10__12__14__19__32,07 
49,2025027,05__07__08__15__16__23,06 
50,2025028,04__09__14__15__18__25,15 
